model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
95F_threshold,C(StateAbbr)[T.RI],-2.250335077981146,0.09348009815470534,4.809284642224152e-128,-2.433552703635638,-2.0671174523266544,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.SC],0.7574850690971869,0.06639084901276726,3.749638220555116e-30,0.6273613961291264,0.8876087420652474,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.SD],-1.0662882985191986,0.08282816526407134,6.346085271039781e-38,-1.2286285193423099,-0.9039480776960872,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.TN],0.17492343263908408,0.062199089943383606,0.004918631094973891,0.05301545647888474,0.29683140879928344,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.TX],0.29139442912277463,0.05451237766599932,9.018136738827563e-08,0.18455213218577035,0.3982367260597789,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.UT],-0.20262436934448771,0.06544985678107236,0.001962351493592712,-0.33090373142869417,-0.07434500726028126,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.VA],-0.02788032925442972,0.05510298839287833,0.6128793635395687,-0.1358802019449999,0.08011954343614044,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.VT],-1.8737557816725339,0.0829331525890001,5.013143004492219e-113,-2.036301773871339,-1.711209789473729,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.WA],-0.022892632801805524,0.0547052481418459,0.6756018110317907,-0.1301129489251502,0.08432768332153916,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.WI],-2.8525299458891467,0.06354700789391583,0.0,-2.9770797926865042,-2.727980099091789,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.WV],-1.751202371329472,0.06966713989234635,1.9751649015741364e-139,-1.8877474564243846,-1.6146572862345594,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.WY],-2.217680098683852,0.09475883805909043,3.945067844862724e-121,-2.4034040084965325,-2.0319561888711712,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,NO_AC_PE_centered,0.011484592341483555,0.0015006155205722627,1.959556972015933e-14,0.008543439966520096,0.014425744716447014,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,hot_days_95f_centered,-0.0012156181317413569,0.0007160808370289404,0.08958346672276744,-0.0026191107823373763,0.00018787451885466234,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,heat95_ac_interaction,0.0005509689791542307,8.962527032391916e-05,7.872682064869766e-10,0.0003753066772146826,0.0007266312810937787,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,poverty_percent,-0.00034790988219786514,0.001739305968340776,0.8414586882048825,-0.0037568869382413497,0.0030610671738456195,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,age65_percent,0.08954948210814472,0.0007997989366589917,0.0,0.08798190499741966,0.09111705921886977,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,renter_percent,-0.020711002981003267,0.00036879607093103466,0.0,-0.021433829997667974,-0.01998817596433856,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,no_vehicle_percent,0.03161305416815821,0.000917845478980707,5.796422092370025e-260,0.02981411008598311,0.033411998250333315,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,OBESITY_CrudePrev,0.06981544109369196,0.0017840099543098206,0.0,0.06631884583518377,0.07331203635220016,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,LPA_CrudePrev,0.4677697545135142,0.0022960748192595755,0.0,0.46326953056195613,0.4722699784650723,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,ACCESS2_CrudePrev,-0.11322336616106826,0.002033175670226327,0.0,-0.11720831724895495,-0.10923841507318158,77125.0,0.8949608169450987,0.8948858561298809
population_500_plus,Intercept,-0.9770140061313994,0.0753113414648668,1.7408195289772358e-38,-1.1246215230299363,-0.8294064892328625,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.AR],-3.006539437743393,0.06735931725613135,0.0,-3.138561273588618,-2.874517601898168,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.AZ],0.15077797839877838,0.06651228425892268,0.02339515826378188,0.020416296721799565,0.2811396600757572,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.CA],-0.5173904937400752,0.05226218640655911,4.1668554338307585e-23,-0.6198224968502498,-0.41495849062990053,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.CO],-0.09836965278739102,0.0580817554489098,0.09033348803440225,-0.21220780162611724,0.015468496051335226,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.CT],-1.6144507794521489e-12,1.1558559410549879e-13,2.458465425679128e-44,-1.8409943810305917e-12,-1.3879071778737061e-12,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.DC],-0.005590547160463533,0.09319814094147194,0.9521670971009484,-0.18825554683183643,0.17707445251090936,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.DE],-1.59723751163736,0.08174839599593332,5.172237266601884e-85,-1.7574614235833077,-1.4370135996914124,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.FL],0.3796378851667843,0.05343088705249142,1.2013626678323362e-12,0.2749152708818737,0.48436049945169496,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.GA],0.24766168687417012,0.055454878674277425,7.969427534120536e-06,0.13897212190554808,0.35635125184279215,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.IA],-2.2573261954410486,0.05900613209114903,0.0,-2.372976089206714,-2.1416763016753833,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.ID],-1.1811931214115987,0.06596326018450431,1.043029067758928e-71,-1.310478735676072,-1.0519075071471253,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.IL],-0.4005025454437341,0.054093628010079255,1.3226536253843817e-13,-0.5065241081365965,-0.2944809827508717,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.IN],-0.1874510474644785,0.06107519518718441,0.0021464392808551733,-0.30715623038011397,-0.067745864548843,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.KS],-1.9635802121009027,0.06337977717919224,9.665113403897482e-211,-2.0878022927202933,-1.8393581314815124,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.LA],-0.4969904449262468,0.07255389672389578,7.387665846568847e-12,-0.6391934694431212,-0.3547874204093724,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MA],-1.9220434583891242,0.058582174559326246,4.330608950805777e-236,-2.0368624106614424,-1.8072245061168062,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MD],-0.20142186965870112,0.061370912931016,0.001030585165282032,-0.32170664870183596,-0.08113709061556627,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.ME],-1.5579204883812852,0.07052464241559558,3.905601355347423e-108,-1.6961462475384184,-1.419694729224152,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MI],-1.616617175665832,0.055682036223762006,2.5217869946574774e-185,-1.7257519612502603,-1.5074823900814038,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MN],-1.9498248056956062,0.05654159479055197,1.356268349676558e-260,-2.0606442951135455,-1.839005316277667,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MO],-2.872056732726134,0.05952365820735095,0.0,-2.988720959040614,-2.7553925064116545,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MS],-1.584754887351852,0.07369213446190703,1.3955944756182386e-102,-1.7291888168410727,-1.4403209578626313,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.MT],-1.1749409303299205,0.07430645017451165,2.567683408199336e-56,-1.3205788964909835,-1.0293029641688576,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NC],-0.207213544536596,0.053099941851491174,9.527078848675725e-05,-0.3112875181466898,-0.10313957092650217,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.ND],-1.9994205857847855,0.08588881495331899,7.207160610667598e-120,-2.167759569768116,-1.831081601801455,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NE],-2.1174755718310845,0.0670888412934753,1.217270310689689e-218,-2.2489672845308197,-1.9859838591313492,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NH],-2.0251478202586326,0.06699648835778428,1.0256489678885419e-200,-2.1564585245305468,-1.8938371159867184,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NJ],-1.6208337554733956,0.05403668607245965,1.1382079074793541e-197,-1.7267437140193136,-1.5149237969274776,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NM],0.34176328131455463,0.07579115564238671,6.504906613879169e-06,0.19321534590880698,0.4903112167203023,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NV],-0.8013550453325087,0.06114475193610527,3.047556629020549e-39,-0.9211965569709107,-0.6815135336941066,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.NY],-2.458606934919008,0.05383934586754377,0.0,-2.5641301137705894,-2.3530837560674267,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.OH],-0.9058980184297235,0.058294162477486734,1.8564851837152156e-54,-1.0201524773945236,-0.7916435594649233,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.OK],-2.816650663450207,0.05956903107491482,0.0,-2.9334038189509872,-2.6998975079494265,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.OR],0.23356936644013038,0.056363427877837685,3.413176735256062e-05,0.12309907775434767,0.34403965512591306,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.RI],-2.215767472542524,0.09382022321382877,2.5682646541628674e-123,-2.399651731063137,-2.0318832140219105,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.SC],0.7759641686749896,0.0661248785970216,8.449653631194208e-32,0.6463617881427438,0.9055665492072354,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.SD],-1.0495418482657384,0.08265183533655979,6.039030631810193e-37,-1.2115364687815307,-0.8875472277499462,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.TN],0.21111190312000383,0.06257718460821629,0.0007418557642912708,0.08846287503398569,0.33376093120602196,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.TX],0.016977455853990686,0.053970040562287554,0.7530867503504131,-0.08880187989225877,0.12275679160024014,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.UT],-0.3471355034417025,0.06394169590096044,5.6690368023626626e-08,-0.47245892451799737,-0.22181208236540767,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.VA],0.012473353173304426,0.055343996075366754,0.8216847466158762,-0.09599888589494052,0.12094559224154935,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.VT],-1.9152832539292837,0.08386830195384926,1.9770392152063437e-115,-2.0796621052033584,-1.750904402655209,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.WA],-0.08969456074733417,0.0542401871972908,0.09819761581853162,-0.19600337416873467,0.016614252674066327,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.WI],-2.7981592680429817,0.06449140490780585,0.0,-2.9245600989746707,-2.6717584371112926,77016.0,0.8948576190489321,0.8947824783141048
population_500_plus,C(StateAbbr)[T.WV],-1.6995515970298642,0.07031266335387795,4.454300484553956e-129,-1.8373618848605544,-1.561741309199174,77016.0,0.8948576190489321,0.8947824783141048
