model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
model4_state_fixed_effects,C(StateAbbr)[T.ND],-1.9953244698154304,0.08592858031157408,2.81162712162341e-119,-2.1637413924687734,-1.8269075471620877,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NE],-2.121181098852704,0.06708177025232973,1.9101049807195558e-219,-2.2526589525664606,-1.9897032451389471,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NH],-2.020686725543846,0.06702882022510291,1.1908481597824731e-199,-2.1520607991112577,-1.8893126519764343,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NJ],-1.6169620095282893,0.05403682507150038,9.783879753775721e-197,-1.7228722405073211,-1.5110517785492574,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NM],0.34222243233778055,0.07593284149662509,6.577872252533722e-06,0.19339679776060686,0.49104806691495423,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NV],-0.7976653946942474,0.06118458345552648,7.533256587638533e-39,-0.9175849746761645,-0.6777458147123302,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NY],-2.4593658181784517,0.054010782205750285,0.0,-2.565225006078559,-2.3535066302783445,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.OH],-0.9070964030045359,0.05825399005189475,1.1388016888820776e-54,-1.021272125462004,-0.7929206805470675,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.OK],-2.8178583057794784,0.05951771492612338,0.0,-2.9345108834768023,-2.7012057280821544,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.OR],0.2411867977823533,0.05637202206920667,1.8817046341309143e-05,0.13069966479101114,0.35167393077369546,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.RI],-2.216462037630191,0.0939182089811592,3.861585328532822e-123,-2.4005383447257693,-2.0323857305346125,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.SC],0.7694890128118126,0.06636091379861961,4.342424698690615e-31,0.639424011785351,0.8995540138382742,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.SD],-1.0464310298438226,0.08258426838575578,8.553977496304359e-37,-1.2082932215694937,-0.8845688381181516,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.TN],0.21342449972440172,0.06252600334552254,0.0006416432728393627,0.09087578506994662,0.33597321437885685,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.TX],0.029046644884901215,0.054017282122566346,0.5907643368498878,-0.07682528261806815,0.13491857238787058,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.UT],-0.3261071278429122,0.06434497251428152,4.0179408509915563e-07,-0.4522209565571237,-0.1999932991287007,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.VA],0.016226985076980168,0.055299684212968124,0.7691879867075249,-0.09215840433687555,0.1246123744908359,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.VT],-1.9102875235077763,0.08395083337688959,1.2851913474453455e-114,-2.074828133398603,-1.7457469136169497,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.WA],-0.08052378095957598,0.05426515871627986,0.13783686037672827,-0.1868815376588343,0.025833975739682352,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.WI],-2.798218234399635,0.06447179562556223,0.0,-2.924580631844364,-2.671855836954906,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.WV],-1.7053350843808261,0.07031111493789634,5.980618450769738e-130,-1.843142337371959,-1.5675278313896932,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.WY],-2.282677229758054,0.09420088219242143,1.0232966949112225e-129,-2.4673075661671007,-2.0980468933490073,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,NO_AC_PE_centered,0.018540001261694153,0.0015596475794559255,1.377864429842862e-32,0.015483148177385466,0.02159685434600284,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,hot_days_90f_centered,0.0027150747374969993,0.00037923980607293975,8.111626986766137e-13,0.001971778376090083,0.0034583710989039155,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,heat90_ac_interaction,0.0002890138793750114,3.5672821857852315e-05,5.415427203284244e-16,0.00021909643330670766,0.00035893132544331514,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,poverty_percent,-0.0004954095064279198,0.0017419832622450483,0.7761084923965497,-0.003909633962099807,0.002918814949243967,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,age65_percent,0.08897165554937146,0.0008000593193460897,0.0,0.08740356809795749,0.09053974300078543,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,renter_percent,-0.020639133228343567,0.0003693258705476252,0.0,-0.021362998633175815,-0.01991526782351132,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,no_vehicle_percent,0.03107034555480937,0.000922148127214185,7.21135572166829e-249,0.029262968437058508,0.032877722672560235,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,OBESITY_CrudePrev,0.06646990486302531,0.0017883042506600761,2.1438559619456063e-302,0.06296489293833167,0.06997491678771896,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,LPA_CrudePrev,0.4701382232279957,0.002307028419388103,0.0,0.46561653061468466,0.47465991584130673,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,ACCESS2_CrudePrev,-0.11688107888989126,0.0020357525857695176,0.0,-0.1208710806394338,-0.11289107714034871,77125.0,0.8947460611421227,0.8946709470672394
